MEM 0.625000 1684499879.4849
MEM 36.628906 1684499879.5851
MEM 69.601562 1684499879.6853
MEM 122.191406 1684499879.7855
MEM 168.156250 1684499879.8857
MEM 219.507812 1684499879.9858
MEM 239.757812 1684499880.0860
MEM 240.507812 1684499880.1862
MEM 240.507812 1684499880.2863
MEM 240.507812 1684499880.3864
MEM 240.507812 1684499880.4866
MEM 240.507812 1684499880.5868
MEM 240.507812 1684499880.6870
MEM 240.507812 1684499880.7872
MEM 240.507812 1684499880.8873
MEM 240.507812 1684499880.9875
MEM 273.949219 1684499881.0877
MEM 273.949219 1684499881.1879
MEM 273.949219 1684499881.2881
MEM 273.949219 1684499881.3883
MEM 273.949219 1684499881.4885
MEM 273.949219 1684499881.5887
MEM 273.949219 1684499881.6889
MEM 273.949219 1684499881.7891
MEM 273.949219 1684499881.8892
MEM 273.949219 1684499881.9894
MEM 273.949219 1684499882.0896
MEM 273.949219 1684499882.1897
MEM 273.949219 1684499882.2899
MEM 273.949219 1684499882.3900
MEM 273.949219 1684499882.4902
MEM 273.949219 1684499882.5904
MEM 273.949219 1684499882.6905
MEM 273.949219 1684499882.7907
MEM 273.949219 1684499882.8909
MEM 273.949219 1684499882.9910
MEM 273.949219 1684499883.0912
MEM 273.949219 1684499883.1914
MEM 273.949219 1684499883.2915
MEM 273.949219 1684499883.3917
MEM 273.949219 1684499883.4919
MEM 273.949219 1684499883.5920
MEM 273.949219 1684499883.6922
MEM 273.949219 1684499883.7924
MEM 273.949219 1684499883.8926
MEM 273.949219 1684499883.9927
MEM 273.949219 1684499884.0929
MEM 273.949219 1684499884.1931
MEM 273.949219 1684499884.2932
MEM 273.949219 1684499884.3934
MEM 273.949219 1684499884.4935
MEM 273.949219 1684499884.5937
MEM 273.949219 1684499884.6939
MEM 273.949219 1684499884.7940
MEM 273.949219 1684499884.8942
MEM 273.949219 1684499884.9944
MEM 273.949219 1684499885.0945
MEM 273.949219 1684499885.1947
MEM 273.949219 1684499885.2948
MEM 273.949219 1684499885.3950
MEM 273.949219 1684499885.4952
MEM 273.949219 1684499885.5953
MEM 273.949219 1684499885.6955
MEM 273.949219 1684499885.7957
MEM 273.949219 1684499885.8958
MEM 273.949219 1684499885.9960
MEM 273.949219 1684499886.0962
MEM 273.949219 1684499886.1964
MEM 273.949219 1684499886.2965
MEM 273.949219 1684499886.3967
MEM 273.949219 1684499886.4969
MEM 273.949219 1684499886.5970
MEM 273.949219 1684499886.6972
MEM 273.949219 1684499886.7974
MEM 241.671875 1684499886.8976
