Compile_config,g_solve_time,g_recover_time,g_recover_eval_time,g_recover_interp_time,g_fes_time,g_ek_time,g_matrix_time,g_eval_time,g_hist_time
64,117338,100930,37255,28329,10613,0,0,19,8232
256,6799,6799,2158,2113,693,0,0,343,0
fes64,4197,0,0,0,0,0,0,0,0
