Compile_config,g_solve_time,g_recover_time,g_recover_eval_time,g_recover_interp_time,g_fes_time,g_ek_time,g_matrix_time,g_eval_time,g_hist_time
64,1208,1029,234,463,161,0,0,1,91
256,44,44,2,27,9,0,0,3,0
fes64,8,0,0,0,0,0,0,0,0
